id_campaign,customer_id,campaign_status,campaign_channel,activity_subject,start_date,end_date,last_modified_date
CAMPAIGN_00001,CUST_00548,Failed,email,Holiday Sale,2023-06-27,2023-07-05,2023-07-05
CAMPAIGN_00002,CUST_01086,Done,letter,Personalized Offer,2024-07-01,2024-07-04,2024-07-07
CAMPAIGN_00003,CUST_01524,Failed,sms,VIP Re-engagement,2024-11-30,2024-12-09,2024-12-13
CAMPAIGN_00004,CUST_02811,Done,sms,Spring Collection Launch,2024-08-27,2024-09-01,2024-09-04
CAMPAIGN_00005,CUST_01135,Done,email,Spring Collection Launch,2024-09-22,2024-09-28,2024-10-02
CAMPAIGN_00006,CUST_01064,Done,letter,Spring Collection Launch,2023-12-06,2023-12-09,2023-12-13
CAMPAIGN_00007,CUST_02231,Done,letter,Personalized Offer,2024-01-14,2024-01-17,2024-01-19
CAMPAIGN_00008,CUST_00251,Done,letter,Spring Collection Launch,2024-08-20,2024-08-28,2024-09-01
CAMPAIGN_00009,CUST_01039,Done,email,Anniversary Campaign,2023-07-26,2023-07-29,2023-08-02
CAMPAIGN_00010,CUST_03301,Failed,call,Spring Collection Launch,2023-11-30,2023-12-01,2023-12-02
CAMPAIGN_00011,CUST_00952,Failed,call,Personalized Offer,2024-11-12,2024-11-18,2024-11-19
CAMPAIGN_00012,CUST_00854,Done,email,Exclusive Preview,2024-08-08,2024-08-17,2024-08-19
CAMPAIGN_00013,CUST_03442,Done,call,VIP Re-engagement,2023-04-03,2023-04-07,2023-04-11
CAMPAIGN_00014,CUST_02723,Done,email,Exclusive Preview,2024-08-16,2024-08-17,2024-08-18
CAMPAIGN_00015,CUST_02282,Failed,sms,Anniversary Campaign,2023-10-02,2023-10-10,2023-10-14
CAMPAIGN_00016,CUST_02855,Done,letter,Holiday Sale,2024-03-26,2024-04-05,2024-04-10
CAMPAIGN_00017,CUST_00208,Failed,call,Anniversary Campaign,2023-12-08,2023-12-13,2023-12-13
CAMPAIGN_00018,CUST_00998,Failed,sms,New Arrivals,2023-11-19,2023-11-24,2023-11-28
CAMPAIGN_00019,CUST_01066,Done,letter,New Arrivals,2023-09-04,2023-09-06,2023-09-06
CAMPAIGN_00020,CUST_02896,Done,letter,Anniversary Campaign,2023-04-23,2023-05-01,2023-05-02
CAMPAIGN_00021,CUST_02749,Done,email,Exclusive Preview,2023-02-02,2023-02-04,2023-02-08
CAMPAIGN_00022,CUST_01337,Failed,call,VIP Re-engagement,2024-10-10,2024-10-15,2024-10-15
CAMPAIGN_00023,CUST_02539,Done,email,Personalized Offer,2023-08-15,2023-08-22,2023-08-22
CAMPAIGN_00024,CUST_01467,Done,letter,Personalized Offer,2023-02-26,2023-03-03,2023-03-03
CAMPAIGN_00025,CUST_00065,Done,email,Loyalty Program Update,2024-04-09,2024-04-18,2024-04-19
CAMPAIGN_00026,CUST_02922,Failed,email,Loyalty Program Update,2024-04-08,2024-04-15,2024-04-19
CAMPAIGN_00027,CUST_02573,Done,call,Loyalty Program Update,2023-10-24,2023-10-25,2023-10-26
CAMPAIGN_00028,CUST_00605,Done,email,Holiday Sale,2023-08-13,2023-08-15,2023-08-20
CAMPAIGN_00029,CUST_02295,Done,call,Anniversary Campaign,2023-06-28,2023-06-29,2023-07-04
CAMPAIGN_00030,CUST_02587,Done,letter,Spring Collection Launch,2023-10-01,2023-10-11,2023-10-15
CAMPAIGN_00031,CUST_03197,Done,letter,Personalized Offer,2023-09-08,2023-09-18,2023-09-22
CAMPAIGN_00032,CUST_01826,Done,sms,Anniversary Campaign,2023-11-17,2023-11-27,2023-11-29
CAMPAIGN_00033,CUST_02812,Done,letter,Exclusive Preview,2024-08-05,2024-08-13,2024-08-16
CAMPAIGN_00034,CUST_00921,Done,call,New Arrivals,2024-08-20,2024-08-27,2024-08-29
CAMPAIGN_00035,CUST_03379,Done,sms,Holiday Sale,2024-10-22,2024-10-31,2024-11-04
CAMPAIGN_00036,CUST_02504,Done,sms,New Arrivals,2023-12-12,2023-12-20,2023-12-22
CAMPAIGN_00037,CUST_00270,Failed,sms,Spring Collection Launch,2023-09-11,2023-09-13,2023-09-13
CAMPAIGN_00038,CUST_02289,Failed,letter,Exclusive Preview,2024-12-21,2024-12-26,2024-12-31
CAMPAIGN_00039,CUST_02978,Done,email,Exclusive Preview,2023-11-07,2023-11-10,2023-11-12
CAMPAIGN_00040,CUST_03170,Done,email,Loyalty Program Update,2023-12-04,2023-12-11,2023-12-13
CAMPAIGN_00041,CUST_00612,Done,sms,Exclusive Preview,2024-08-03,2024-08-07,2024-08-08
CAMPAIGN_00042,CUST_02976,Done,sms,Exclusive Preview,2023-12-11,2023-12-16,2023-12-19
CAMPAIGN_00043,CUST_02537,Done,call,Spring Collection Launch,2024-02-15,2024-02-20,2024-02-24
CAMPAIGN_00044,CUST_00599,Failed,sms,Personalized Offer,2024-06-03,2024-06-12,2024-06-13
CAMPAIGN_00045,CUST_00875,Done,letter,New Arrivals,2024-10-23,2024-10-26,2024-10-29
CAMPAIGN_00046,CUST_00354,Done,email,Loyalty Program Update,2023-08-04,2023-08-09,2023-08-09
CAMPAIGN_00047,CUST_00373,Done,email,Anniversary Campaign,2024-09-22,2024-10-01,2024-10-05
CAMPAIGN_00048,CUST_03296,Failed,email,Spring Collection Launch,2024-04-17,2024-04-20,2024-04-20
CAMPAIGN_00049,CUST_02829,Failed,sms,Loyalty Program Update,2024-10-26,2024-11-01,2024-11-02
CAMPAIGN_00050,CUST_02377,Done,letter,Holiday Sale,2024-12-23,2025-01-02,2025-01-06
CAMPAIGN_00051,CUST_00868,Done,email,Exclusive Preview,2023-05-30,2023-06-03,2023-06-03
CAMPAIGN_00052,CUST_00473,Done,letter,Loyalty Program Update,2023-06-05,2023-06-14,2023-06-18
CAMPAIGN_00053,CUST_00123,Done,sms,Anniversary Campaign,2023-04-11,2023-04-14,2023-04-17
CAMPAIGN_00054,CUST_00884,Done,letter,Spring Collection Launch,2023-05-18,2023-05-22,2023-05-26
CAMPAIGN_00055,CUST_00297,Done,sms,Spring Collection Launch,2023-02-20,2023-02-21,2023-02-23
CAMPAIGN_00056,CUST_02590,Done,email,Spring Collection Launch,2023-12-02,2023-12-08,2023-12-11
CAMPAIGN_00057,CUST_01608,Failed,email,Spring Collection Launch,2024-03-10,2024-03-14,2024-03-14
CAMPAIGN_00058,CUST_02816,Done,email,Personalized Offer,2023-05-02,2023-05-05,2023-05-05
CAMPAIGN_00059,CUST_01776,Done,call,Holiday Sale,2023-07-20,2023-07-27,2023-07-27
CAMPAIGN_00060,CUST_02503,Failed,call,Spring Collection Launch,2024-11-19,2024-11-29,2024-12-04
CAMPAIGN_00061,CUST_00402,Failed,email,Loyalty Program Update,2024-11-19,2024-11-28,2024-12-02
CAMPAIGN_00062,CUST_02724,Failed,call,Anniversary Campaign,2023-05-04,2023-05-07,2023-05-09
CAMPAIGN_00063,CUST_02750,Done,email,Personalized Offer,2023-09-23,2023-10-01,2023-10-06
CAMPAIGN_00064,CUST_00503,Failed,letter,VIP Re-engagement,2024-09-04,2024-09-13,2024-09-18
CAMPAIGN_00065,CUST_03215,Done,letter,Loyalty Program Update,2023-02-18,2023-02-23,2023-02-28
CAMPAIGN_00066,CUST_00787,Failed,sms,Personalized Offer,2024-01-20,2024-01-27,2024-01-30
CAMPAIGN_00067,CUST_00907,Done,call,Exclusive Preview,2023-11-16,2023-11-22,2023-11-25
CAMPAIGN_00068,CUST_00806,Failed,letter,New Arrivals,2023-09-29,2023-10-08,2023-10-13
CAMPAIGN_00069,CUST_03479,Failed,sms,Exclusive Preview,2023-05-15,2023-05-16,2023-05-20
CAMPAIGN_00070,CUST_03131,Done,email,New Arrivals,2024-08-27,2024-09-06,2024-09-11
CAMPAIGN_00071,CUST_02102,Done,call,Loyalty Program Update,2024-12-17,2024-12-18,2024-12-18
CAMPAIGN_00072,CUST_01266,Failed,letter,New Arrivals,2024-03-22,2024-03-31,2024-03-31
CAMPAIGN_00073,CUST_02910,Done,sms,Exclusive Preview,2024-07-16,2024-07-19,2024-07-23
CAMPAIGN_00074,CUST_02934,Failed,sms,Spring Collection Launch,2024-10-06,2024-10-12,2024-10-17
CAMPAIGN_00075,CUST_02317,Done,letter,Spring Collection Launch,2024-05-10,2024-05-19,2024-05-21
CAMPAIGN_00076,CUST_00137,Done,sms,Loyalty Program Update,2023-02-16,2023-02-19,2023-02-22
CAMPAIGN_00077,CUST_03302,Done,sms,Exclusive Preview,2023-03-10,2023-03-16,2023-03-20
CAMPAIGN_00078,CUST_03379,Done,email,New Arrivals,2024-12-29,2025-01-06,2025-01-06
CAMPAIGN_00079,CUST_03182,Done,email,New Arrivals,2024-05-27,2024-05-30,2024-06-03
CAMPAIGN_00080,CUST_02201,Failed,call,Personalized Offer,2023-10-13,2023-10-17,2023-10-21
CAMPAIGN_00081,CUST_00577,Done,email,New Arrivals,2023-05-01,2023-05-02,2023-05-02
CAMPAIGN_00082,CUST_00537,Done,email,Loyalty Program Update,2023-02-08,2023-02-11,2023-02-16
CAMPAIGN_00083,CUST_02651,Done,email,Anniversary Campaign,2024-12-10,2024-12-17,2024-12-17
CAMPAIGN_00084,CUST_02619,Failed,letter,Spring Collection Launch,2023-03-23,2023-03-26,2023-03-26
CAMPAIGN_00085,CUST_03317,Done,sms,Personalized Offer,2024-08-08,2024-08-15,2024-08-17
CAMPAIGN_00086,CUST_03322,Done,email,Spring Collection Launch,2024-12-21,2024-12-25,2024-12-28
CAMPAIGN_00087,CUST_03355,Failed,letter,Holiday Sale,2024-06-12,2024-06-19,2024-06-23
CAMPAIGN_00088,CUST_01946,Done,letter,Anniversary Campaign,2024-05-27,2024-06-03,2024-06-07
CAMPAIGN_00089,CUST_03287,Done,sms,Spring Collection Launch,2023-11-05,2023-11-10,2023-11-11
CAMPAIGN_00090,CUST_03446,Done,email,Personalized Offer,2024-12-13,2024-12-18,2024-12-18
CAMPAIGN_00091,CUST_00713,Done,letter,Holiday Sale,2023-10-12,2023-10-17,2023-10-17
CAMPAIGN_00092,CUST_03471,Done,sms,New Arrivals,2023-10-28,2023-11-01,2023-11-04
CAMPAIGN_00093,CUST_02888,Failed,email,Anniversary Campaign,2023-02-01,2023-02-03,2023-02-03
CAMPAIGN_00094,CUST_02502,Failed,letter,Personalized Offer,2023-11-13,2023-11-16,2023-11-17
CAMPAIGN_00095,CUST_00581,Done,letter,Holiday Sale,2024-07-24,2024-08-01,2024-08-02
CAMPAIGN_00096,CUST_02133,Done,sms,VIP Re-engagement,2023-02-07,2023-02-12,2023-02-15
CAMPAIGN_00097,CUST_02013,Done,email,Holiday Sale,2023-11-18,2023-11-24,2023-11-25
CAMPAIGN_00098,CUST_00824,Failed,email,Spring Collection Launch,2023-05-26,2023-05-27,2023-05-30
CAMPAIGN_00099,CUST_00527,Failed,letter,Personalized Offer,2024-02-07,2024-02-17,2024-02-22
CAMPAIGN_00100,CUST_03357,Failed,call,VIP Re-engagement,2024-02-23,2024-03-03,2024-03-05
CAMPAIGN_00101,CUST_01114,Done,sms,Loyalty Program Update,2023-10-22,2023-11-01,2023-11-04
CAMPAIGN_00102,CUST_00127,Failed,call,VIP Re-engagement,2024-04-27,2024-05-04,2024-05-05
CAMPAIGN_00103,CUST_00468,Done,letter,Exclusive Preview,2023-04-29,2023-05-08,2023-05-11
CAMPAIGN_00104,CUST_00493,Done,sms,Spring Collection Launch,2023-06-16,2023-06-23,2023-06-23
CAMPAIGN_00105,CUST_02787,Failed,sms,Personalized Offer,2023-12-12,2023-12-16,2023-12-16
CAMPAIGN_00106,CUST_01388,Done,sms,New Arrivals,2024-01-25,2024-02-02,2024-02-02
CAMPAIGN_00107,CUST_01513,Done,sms,VIP Re-engagement,2023-08-27,2023-09-05,2023-09-05
CAMPAIGN_00108,CUST_01475,Done,letter,Anniversary Campaign,2023-01-30,2023-02-07,2023-02-09
CAMPAIGN_00109,CUST_02731,Done,sms,VIP Re-engagement,2024-04-10,2024-04-20,2024-04-20
CAMPAIGN_00110,CUST_01421,Done,call,Holiday Sale,2024-09-04,2024-09-14,2024-09-14
CAMPAIGN_00111,CUST_01577,Done,call,Holiday Sale,2024-03-23,2024-03-31,2024-04-03
CAMPAIGN_00112,CUST_01048,Failed,email,Exclusive Preview,2024-04-14,2024-04-16,2024-04-21
CAMPAIGN_00113,CUST_02058,Done,letter,New Arrivals,2024-08-24,2024-08-28,2024-08-31
CAMPAIGN_00114,CUST_02079,Done,email,Exclusive Preview,2024-03-17,2024-03-26,2024-03-26
CAMPAIGN_00115,CUST_03177,Done,sms,Holiday Sale,2024-06-05,2024-06-13,2024-06-18
CAMPAIGN_00116,CUST_01591,Done,email,Personalized Offer,2024-02-15,2024-02-19,2024-02-21
CAMPAIGN_00117,CUST_00816,Done,call,Personalized Offer,2024-05-15,2024-05-25,2024-05-26
CAMPAIGN_00118,CUST_00713,Done,call,VIP Re-engagement,2023-09-24,2023-09-26,2023-10-01
CAMPAIGN_00119,CUST_01976,Done,sms,New Arrivals,2024-11-09,2024-11-18,2024-11-21
CAMPAIGN_00120,CUST_01034,Done,email,Exclusive Preview,2024-05-24,2024-05-29,2024-06-02
CAMPAIGN_00121,CUST_02519,Done,email,Loyalty Program Update,2023-05-14,2023-05-20,2023-05-23
CAMPAIGN_00122,CUST_01281,Done,sms,Personalized Offer,2023-03-09,2023-03-10,2023-03-11
CAMPAIGN_00123,CUST_02636,Done,email,VIP Re-engagement,2023-10-15,2023-10-19,2023-10-20
CAMPAIGN_00124,CUST_00927,Done,call,Holiday Sale,2023-12-07,2023-12-08,2023-12-11
CAMPAIGN_00125,CUST_02755,Done,sms,Loyalty Program Update,2023-11-15,2023-11-24,2023-11-24
CAMPAIGN_00126,CUST_01274,Failed,letter,New Arrivals,2024-10-07,2024-10-08,2024-10-09
CAMPAIGN_00127,CUST_02588,Done,letter,VIP Re-engagement,2024-11-15,2024-11-24,2024-11-27
CAMPAIGN_00128,CUST_02749,Done,letter,VIP Re-engagement,2024-09-14,2024-09-17,2024-09-22
CAMPAIGN_00129,CUST_03095,Done,email,Exclusive Preview,2023-09-28,2023-09-30,2023-10-01
CAMPAIGN_00130,CUST_01679,Done,email,Loyalty Program Update,2023-04-07,2023-04-14,2023-04-15
CAMPAIGN_00131,CUST_00353,Done,call,New Arrivals,2023-07-08,2023-07-14,2023-07-17
CAMPAIGN_00132,CUST_01009,Done,email,Anniversary Campaign,2023-03-31,2023-04-08,2023-04-10
CAMPAIGN_00133,CUST_01373,Done,letter,Personalized Offer,2023-01-11,2023-01-20,2023-01-23
CAMPAIGN_00134,CUST_02396,Failed,letter,Spring Collection Launch,2024-08-14,2024-08-17,2024-08-17
CAMPAIGN_00135,CUST_00877,Done,letter,New Arrivals,2024-12-09,2024-12-18,2024-12-22
CAMPAIGN_00136,CUST_01366,Done,email,Spring Collection Launch,2023-07-11,2023-07-21,2023-07-22
CAMPAIGN_00137,CUST_02439,Failed,email,Personalized Offer,2024-09-24,2024-10-01,2024-10-01
CAMPAIGN_00138,CUST_03390,Failed,email,Anniversary Campaign,2024-10-06,2024-10-16,2024-10-16
CAMPAIGN_00139,CUST_01842,Done,call,Personalized Offer,2024-03-21,2024-03-29,2024-03-31
CAMPAIGN_00140,CUST_01445,Done,letter,Exclusive Preview,2024-11-28,2024-12-06,2024-12-09
CAMPAIGN_00141,CUST_03279,Done,email,VIP Re-engagement,2023-04-05,2023-04-09,2023-04-11
CAMPAIGN_00142,CUST_00792,Done,email,Loyalty Program Update,2023-07-29,2023-08-04,2023-08-06
CAMPAIGN_00143,CUST_02342,Done,letter,Exclusive Preview,2024-04-19,2024-04-23,2024-04-23
CAMPAIGN_00144,CUST_02459,Failed,call,Exclusive Preview,2024-09-20,2024-09-29,2024-09-29
