customer_id,event_type,event_date,product_category,quantity,net_sale_euro
CUST_02071,purchase,2024-11-15,slg,2,335.78
CUST_01676,purchase,2024-11-23,slg,2,889.56
CUST_01703,purchase,2024-11-29,slg,2,1571.01
CUST_02002,purchase,2024-07-13,bags,2,1868.94
CUST_02316,purchase,2024-06-08,shoes,2,1655.78
CUST_01197,purchase,2024-06-09,rtw,1,1200.52
CUST_00921,purchase,2024-10-16,rtw,2,1790.46
CUST_00689,purchase,2024-12-17,slg,2,1898.61
CUST_02317,purchase,2024-12-08,slg,3,276.43
CUST_02252,purchase,2024-10-09,bags,2,230.34
CUST_02346,purchase,2024-06-30,rtw,2,114.69
CUST_03175,purchase,2024-10-18,rtw,2,404.98
CUST_02221,purchase,2024-12-28,bags,1,489.68
CUST_03113,purchase,2024-12-02,slg,3,1062.45
CUST_02238,purchase,2024-07-26,slg,1,231.7
CUST_00420,purchase,2024-12-06,shoes,1,1133.41
CUST_01220,purchase,2024-06-09,slg,3,324.82
CUST_01077,purchase,2024-08-29,bags,2,1498.5
CUST_01799,purchase,2024-07-01,shoes,3,1849.96
CUST_00860,purchase,2024-12-25,textile,2,604.79
CUST_02823,purchase,2024-08-29,textile,3,922.14
CUST_02592,purchase,2024-09-18,shoes,1,1054.81
CUST_02524,purchase,2024-07-06,shoes,2,236.14
CUST_03333,purchase,2024-07-23,bags,4,1545.58
CUST_02336,purchase,2024-08-29,textile,2,336.4
CUST_01152,purchase,2024-10-31,textile,1,361.35
CUST_00690,purchase,2024-08-22,rtw,2,938.17
CUST_01186,purchase,2024-10-25,rtw,2,1185.57
CUST_02108,purchase,2025-02-19,bags,1,1589.43
CUST_00556,purchase,2024-12-10,slg,1,1223.55
CUST_00243,purchase,2024-08-10,shoes,4,837.95
CUST_02874,purchase,2024-07-04,shoes,3,297.19
CUST_00600,purchase,2024-10-15,rtw,2,920.14
CUST_03394,purchase,2024-10-13,slg,1,881.51
CUST_02005,purchase,2024-07-07,textile,3,496.14
CUST_02591,purchase,2024-08-08,slg,1,180.46
CUST_01537,purchase,2024-09-24,bags,2,489.94
CUST_02596,purchase,2024-12-21,bags,3,753.79
CUST_01651,purchase,2024-10-10,rtw,3,960.18
CUST_02846,purchase,2024-09-03,slg,4,1884.52
CUST_02000,purchase,2024-08-23,textile,2,857.4
CUST_00011,purchase,2024-12-16,bags,3,197.36
CUST_02994,purchase,2024-09-26,rtw,2,1049.37
CUST_03483,purchase,2024-06-17,textile,3,452.6
CUST_01630,purchase,2024-07-26,slg,1,589.94
CUST_03379,purchase,2024-07-25,slg,2,486.0
